Content,Date,SerialNumber,Title
"台灣蓄水量第一大的水庫──曾文水庫，總容量為708百萬立方公尺。大壩位於台南市楠西區，壩身材料為土石壩，壩高133公尺，壩長400公尺，滿水面積1,714公頃，具有給水、防洪、灌溉、發電及觀光等多目標水庫（台灣第二大蓄水庫──翡翠水庫；總容量為406百萬立方公尺）。","20140514","12","台灣蓄水量最大的水庫？"
"<div><p>魚道就是給魚爬的渠道，台灣也有許多如鮭魚之類的迴游於類，如果水庫或攔河堰建在河道中而不設魚道，將會使魚類無法回到上游產卵而引響生態。水利處十分重視此項環境問題，目前在濁水溪集集攔河堰及高屏溪攔河堰等工程均已分別設置110公尺及35公尺魚道供魚兒回家。以下圖例為石岡壩魚道:<br />資料來源:第十河川局網站http://www.wra10.gov.tw/ct.asp?xItem=44410&amp;ctNode=30509&amp;mp=10<br /><a title=<IMG alt=石岡壩魚道 src= target= _fcksavedurl= trrn.wra.gov.tw= trrn= static= front= images= href=http://www.wracb.gov.tw/ct.asp?xItem=3787&amp;CtNode=1179&amp;mp=1>,另開新視窗&quot;><img alt=石岡壩魚道 src=http://trrn.wra.gov.tw/trrn/static/front/images/9123015592371.jpg /></a> <br />圖片來源:水利署中區水資源局石岡壩管理中心</p></div>","20141007","37","魚道是什麼？"
"<div><p>所謂「河川棲地模式」係以水理分析模式(例如HEC-RAS)來分析某一河段在某一流量作用下之水深與流速之後，再配合該河段之標地物種對於棲地條件之喜好情形，估算適合標地物種之棲地面積。「河川棲地模式」之評估方法眾多，美國國家生態研究中心(National Ecology Research Center)之水域生系部門(ASB)於1978年提出之「物理棲地模擬系統(Physical Habitat Simulation System, PHABSIM)為棲地法中最為廣泛應用的模式。(吳富春等人，1998)<br /><br />如何應用於河川復育請參考：吳富春、胡通哲、李國昇、李德旺(1998)，應用棲地模式估算台灣河川之生態流量，第九屆水利工程研討會，pp.C21-C28.</p></div>","20141007","38","請問河川棲地模式是什麼?如何應用於河川復育?"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>河川日（Rivers Day）是一個全球性關懷河川、保護河川之行動節日！國內的河川日訂定九月的最後一個星期日為河川日。</span>","20150930","86","什麼是河川日?"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>日本也早在1996年，國土交通省便指定每年的7月7日為日本的河川日（川日），藉以推廣及養成日本國民愛護河川之意識。　2006年，水利署有鑑於台灣河川，或因過度開發地整治、或水域受到嚴重污染，造成水環境惡化、河川生態遭到空前之威脅與破壞，因此委託辦理 &quot;台灣河川日育宣導活動計畫&quot;。是年規劃並邀請國內環境保護及生態保育相關並認同河川日宗旨之團體、社區大學&hellip;&hellip;等非政府組織與政府部門一起簽署愛護河川宣言，共同發起、創立屬於台灣自己的「河川日」，期讓台灣河川日（Taiwan Rivers Day）成為全民愛護河川、保護河川的一個行動節日。藉由台灣河川日活動之發起，每年規劃並持續舉辦系列教育宣導活動，以寓教於樂、潛移默化方式來提昇民眾愛護河川意識；藉由舉辦研討會及論壇等方式，深化民眾河川議題相關之知能及保護河川之環境意識，俾有助於建立全民共識，並利有水利施政措施及方案之推動。同時，亦讓台灣更積極扮演身為地球村一份子之角色，參與國際性議題與運動－拯救地球、維護地球環境與生態。河川日（Rivers Day）是一個全球性關懷河川、保護河川之行動節日！國內的河川日訂定九月的最後一個星期日為河川日。</span>","20150930","87","為什麼要訂定河川日?"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>台灣最長的河川─濁水溪，幹流長度為186.6公里，發源於合歡山主峰與東峰之佐久間鞍部，標高約3,200公尺；流經南投、彰化及雲林縣境，於彰化縣大城鄉與雲林縣麥寮鄉交界出海，主要支流計清水溪、陳有蘭溪及東埔蚋溪。<br /><img src=http://trrn.wra.gov.tw/trrn/static/data/images/understandingRiver/understandingr0076.jpg alt=相關圖片 /><br type=_moz /></span>","20150930","88","台灣最長的河川是那一條？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>沿河向及河岸兩側緩衝帶創造多層次之植栽景觀綠帶，提供人們休閒遊憩親水空間，兼具給予多樣性生物群生存之空間。</span><br style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify; /><span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>資料來源:水利署水利科技名詞查詢系統http://gweb.wra.gov.tw/pdhidist/List.asp?Action=Search<br /><img src=http://trrn.wra.gov.tw/trrn/static/front/images/eco_walk.jpg alt=相關圖片 /><br /></span><span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>圖片來源:http://140.116.96.93/museum/02/waydefinition.html</span>","20150930","89","什麼是河川生態廊道"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>施作堅固的防洪工程以保護人民生命財產安全是水利工程師的天職，然工程師亦是惟一可掌握並改造大地的執行者，生態及景觀學家一再呼籲工程師在河川工程規劃上應做實質之配合。但倘工程師未做好河川生態復育的先前作業而致無法接續改善棲地及環境之工作，生態及景觀學家只能徒呼奈何。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","90","河川生態復育工作是否非工程師之職責？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>生態復育存在許多不確定因素，各國在推動生態工程實施棲地改善時都曾經過試誤學習的階段，以日本為例，其河道生態工程曾經歷「自然形態、自然材料、自然機制」及「單種復育」及「單種復育、多種復育、系統復育」的演變。日本建設省在1990年發佈行政命令全面實施多自然造川後，首先出現的是大批生硬的自然擬態作品，如在高灘地上挖出勉強蜿蜒的河道後加以固定，堤防表面植草綠化等。同時出現制式的螢火蟲護岸，魚巢護岸，混凝土魚道等。以單一明星物種為對象的河道內結構物。90年代初期全國每年推出數以千計的多自然造川工程，然而工程師尚無法突然脫離對慣用材料及設計方法的依賴，大量工程因而成為生態學者交相指責的對象。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);><br />美國河道生態工程推動狀況因州而異，河川復育在體制設計下的功夫較深，法令及管理方式都朝流域經營的主軸前進。由於其常用的河道生態工程多承襲歐洲，技術發展和規劃設計理念的進展顯得相對遲滯。在此發展過程中，美國亦無可避免地經歷和日本類似的試誤學習。因此進行河川復育工作時應勇於挑戰艱鉅任務且不畏懼犯錯，方有可能累積經驗。在生態工程發展歷程中，國內已落後歐美日數十年，如能承襲並擷取先進國家經驗，將可減免不少錯誤的發生，但倘若永遠不願嘗試，並從失敗中求取經驗以策利未來之導向，勢將難以肩負起河川環境營造的社會責任。</p><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","92","防洪工程是否不能做為生態復育之試驗品，亦即不容許失敗？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>台灣河川地形與水文氣候特性，在推展河川生態工程時確實需歷經較嚴苛之考驗，但其實許多工程師並無認真從河川型態、水理、蜿蜒度、河川坡降及流況上探討或由河岸抗剪應力強度推算取得驗證，對「生態工程」不可靠之疑慮大多僅憑直覺，甚至認為必須犧牲防洪安全方足以竟其功。常見統計資料比較世界各重要河川之坡度（見圖），將台灣之濁水溪、大甲溪等與世界著名河川如科羅拉多河、萊茵河、湄公河等做比較並不恰當。台灣河川平均坡度遠陡於其他內陸國家河川雖是事實，但如此比較極易造成錯覺，先進國家亦有從淺山（大約海拔300公尺以下）流下之河川，類似於中部大里溪、烏溪等，其條件與台灣河川水文及地形條件相當，然亦未避諱採用生態工程。</span><div><span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;><img src=http://trrn.wra.gov.tw/trrn_file//static/upload/htmleditor/1390eb69d1100000282c.png alt=相關圖片 /><br /></span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: center; color: rgb(51, 51, 51);>圖&nbsp; 河川坡度比較圖（資料來源：河川景觀暨生態環境規劃，2008）</p><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>堤防被沖毀之原因，除因發生異常之水文事件已超越工成本身所能承受之情況外，很可能是在險要河段（如彎道之凹岸），也可能是與人為過度破壞（如疏濬、濫採砂石、河川地不當使用）有關，再者水泥堤防亦有其禦洪之缺點及極限，例如期撓屈性不佳、堤心易掏空、不吸水性及會減低河岸粗糙度等，均使得在洪流直沖段極易破損。<br /><br />特殊異常之水文現象或百年一次洪水或瞬間極大之暴雨並非只有台灣可能發生，坡度陡峻之河川也不是只有台灣有，惟國外水利工程師會藉由各種水文水理分析暨河川型態之探討，以達到減用或不用水泥來構築防洪工程，也並未認為生態工程之禦洪能力較差。但儘管如此，最重要者還是要因地制宜，一個優良的工程師必須要有判斷適當棲地復育地點之能力，而不是始終沉浸於不當的直覺中。</p><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p><span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;><br type=_moz /></span></div>","20150930","94","台灣河川型態及水文條件是否不適宜做生態工程？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>自然河川高流速梯度愈近河岸則愈易造成河岸沖蝕（見圖）。任何構造其實只要能降低近岸的剪應力，即可降低岸蝕的功效，沒有必要利用構造物本身直接伸線高流速梯度區，任何工法如果能將流速梯度之動能轉移到製造河道上深淵、輸送泥沙與輸送流水，那些功能才是河川的任務，能夠協助達成河川的任務就是優良工法，例如在凹岸處構築組立透水性丁壩或水制工等，既可收保護堤岸之效，又可達到簡易棲地營造之功能，故只圖建構堅固之堤防並非上策。<div style=text-align: center;><img src=http://trrn.wra.gov.tw/trrn_file//static/upload/htmleditor/1390eb81e08000004363.png alt=相關圖片 /></div></span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: center; color: rgb(51, 51, 51);>圖 岸邊流速梯度變化（資料來源：河川景觀暨生態環境規劃，2008）</p><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","95","河川凹岸處之堤岸是否必須強固如銅牆鐵壁，否則易受衝擊？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>生態工成的目的在改善及維護既有水生生物生存空間，誘發已瀕臨消失之原生物種重返。多孔隙材質之結構物固可誘使生物棲息於其間，但仍需各種有利地形如淵、瀨、潭&hellip;等之形成，方能有助於覓食、棲息、避難與繁衍，國內許多研討會中過於強調多孔隙構造致常造成誤導，其實只要對棲地生態復育有益者，即使是以混凝土打造之構造，亦可稱之為生態工程。然縱使以蛇籠或砌石打造之構造物，倘對生態及棲地復育無助益，亦不足稱為生態工程。此乃美、日許多專家所再三提醒，惟國內已施作之生態工程常一味「去水泥化」之作法並不足奉為圭臬。此外亦無須過於強調一定得使用本地材料，現有石材缺乏或不足時，亦非不可由臨近河川外運過來。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","96","為達生態需求，是否一定需採砌石、蛇籠等多孔隙材質，不可使用混凝土？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>河川與野溪二者在水文、水理、地質、地形條件大不相同，其洪峰流量所造成之岸蝕亦差異頗大，且野溪每年乾涸之日數遠多於河川，復以台灣野溪滿布攔沙壩，對於當地生態環境之影響極為深遠，而中下游進行棲地改善生態工程之同時，必應謹慎評估在流速急及高洪峰流量河川（如大安溪、大甲溪等）實施之可行性，不宜妄想全面實施生態工程，以免徒勞無功，一切復育工作與工程仍需回歸至安全第一之原則，因地制宜。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","97","河川與野溪在棲地復育原理上是否類似而可互相比照或參考做法？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>為營造對河川生物有益的棲地，需將河川中無可避免之工程施工方是盡量與水中或岸邊生物棲息之方式相符，配合河川地形創造河川中的「淵」、「潭」、「瀨」、「灘」、「澗」、「石縫」&hellip;等，使水中生物或昆蟲、鳥類等有適宜的活動空間及繁殖場所，並兼具美化河川之功效，但此種方式僅適用於無洪患之虞之小河川，在急流河川或中大型河川或洪水易到達之區域不適宜施作。國內在此方面之研究成果太少，因而漸漸被誤導為將水泥堤防改為石材、蛇籠、土堤等之綠美化措施就是「生態工程」，或是逕將自然河川整平鋪草皮，再導入拼磚步道和灌木花檀類，甚或做個主題樂園，或將河堤當成藝術品般地精雕細琢過度設計，讓人們在和河流無關的地方親水，而改善棲地環境及河川復育之功能反被忽視及曲解，以致舉目所見已完成之生態工程大多淪為以造景為目的，此本末倒置之錯誤觀念倘再不正視，往後推動真正的復育工作將更艱難。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","98","生態工程是否只是在改善現有堤岸之工法？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>「生態工程」之精神乃在於善用當地現有材料及原生樹種，吸引原就生存於當地之生物重返，並可改善河川景觀，故並不需花費過多的經費及時間，不過就長期而言，例行之維護工作仍是必須的。如同傳統混凝土工法同樣須編列經費維修，我們無法期盼擁有一永遠無須維護之優質河川環境，除非人類遠離河川。現階段水利單位對棲地復育維護工作之意願不高，惟理論上應視同是親生子般地呵護，倘一味要求由地方機關負責，限於人力與經費，必難以獲得較多的愛心，而各級機關相互推諉管理權責之情況下，終將會荒廢既成之成果。水利署擬推動之河川環境管理計畫中，涵蓋生態環境保護計畫及親水環境創造計畫、管理維護計畫等下位計畫，未來在有周全的管理方針及經費下，問題當可迎刃而解。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","99","環境改善措施完成後之維護工作是否非施工單位所應負責？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>以大安溪白布帆橋下游一帶為例，原本是河川由山地將進入平原前之峽谷地形，十多年前在民意要求下，興建大安溪右岸白布帆堤防及左岸四角林堤防，強行束縮該處河道以攫取部分耕地，但終究敵不過93年8月艾利颱風帶來之高流量，造成水流像撞球路徑兩度碰壁反彈，而致兩岸堤防雙雙遭沖毀。台灣不是所有河川或河段皆必須抵抗超大洪水，在沒有必要做堤防之河段不需勉強去作，即使要做也並非一定得要建造成堅硬的水泥堤防，須認知堤防工程是在河川整治過程中最後不得已之手段，本地河段構築兼顧堤岸，河川能量只好向下游釋出，很可能造成下游其他河段之受災，其實利用疏導或以滯洪區之形成亦能夠達到防災效果，端賴設計者之巧思。遷就少數人進入不宜耕作及居住之河道內占地為王，導致河川變色與國土流失，復接受彼等強行要求築堤已建立所謂的「安全」，更是違反大地之自然平衡。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","100","是否興建水泥堤防才是最佳防洪手段？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>除非有特殊或稀有的河川生物需進行保育（例如櫻花鉤吻鮭），否則河川生態復育僅只於造就一般聲物如魚蝦貝類、鳥類、昆蟲甚或藻類、底棲動物、爬蟲兩棲類等之共同棲地環境，回復以往之自然河川風貌，使其形成一自然生態體系。如果河川生態復育應俟生態調查完成後才進行，那全台灣所有河川假設需數十年才能調查完畢，部分較晚進行調查之河川，其復育工作勢將因而擱置。且生態調查與生態工程同時併行以及早拯救河川環境，在理念上並無衝突，端賴執行上之技巧。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","101","生態調查未完成前，是否施作「生態工程」對河川復育亦是徒勞無功？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>近年來對生態工程之結構安全及效益評估方面上有許多環節待研究及整合，仍無一致性之規範或準則可循，尤其發包及驗收等作業需要體制設計及技術設計二方面的支持，且生態工程之精神為盡量利用現有材料，以順應當地生態環境為原則，故掌握要領發揮自己的創意又不失其應有功能正是生態工程可貴之處。基本上整個方向不是找出新的設計及施工標準，而是容許實驗及創新，但強調施工後的監測及管理。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","102","生態工程尚未完成設計規範與準則，是否無所依循？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>高灘地植生可改善河川景觀及增進土地利用，但應在不妨礙水流（或妨礙甚小）情況下進行高灘地植生，以兼顧防洪與綠美化。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);><br />依據民國95年3月最新修訂之河川區域種植規定：<br /><br />第3條：禁止種植區域如下，但草本、蔓藤植物之植株及灌木之成木高度低於五十公分且未設置支持之棚架者，不在此限：<br />（1）非屬高灘地區域。<br />（2）在堤腳、防洪牆、護岸或堤防附屬建造物二十公尺以內之區域。<br />（3）因堤身破損或堤腳淘刷而新建之堤防完工未滿二年。<br />（4）施工中或已完成之高灘地綠美化河段。但管理機關一河川環境管理計劃及高灘地綠美化計畫許可者，不在此限。<br /><br />第5條：種植灌木應符合下列規定：<br />（1）距堤外坡腳二十公尺區域內之成木高度不得超過五十公分。<br />（2）沿河川縱列種植者，種植縱長不得超過一百公尺，每一列植之間隔需留五十公尺以上之空地。但草本、蔓藤植物之植株高度低於五十公分且未設置支持之棚架，於空地種植者，不在此限。<br />（3）環狀種植其環形直徑需大於三十公尺。<br /><br />第6條：種植喬木應依下列規定：<br />（1）採單木種植，並依喬木植栽之限制辦理。<br />（2）於計畫洪水位時之高灘地水深超過五公尺，禁止種植。<br /><br />第9條（摘錄）：於河防建造物上種植，依下列規定辦理：<br />（1）有斜面崩壞、滑動、急遽下沉等紀錄，或堤岸淘刷、漏水堤體、漏水地盤等區間，禁止種植喬木、灌木。<br />（2）於堤坡植栽之植物以灌木及草本植物為限；惟灌木於堤前坡種植，應限於計畫洪水位以上。<br />（3）河川綠美化或環境保育之公益必要，得於堤後坡垂直高度比水平高度為一比二之以下緩坡及堤高二分之一高程以下種植喬木。但應配合坡面保護工法。<br />（4）堤防及護岸內側之水防道路的樹木種植必需保持六公尺以上的車輛通行帶。<br /><br />由此可見河川高灘地或構造物上植樹之現行法規已做適度開放，對於水生陸生生物之棲地維護及河岸景觀綠化等均能有效改善，惟影響治水功能之地區仍不宜植樹，例如：危及堤防安全之區域；樹根對河川管理有影響之區域；倒伏流木可能淘刷或阻塞河道之區域。</p><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","103","河川高灘地或構造物上植樹是否妨礙水流之舉？"
"國際生態旅遊學會對生態旅遊的定義是：「生態旅遊是一種負責任的旅遊，顧及環境保育，並維護地方住民的福利。」；而行政院永續發展委員會於民國94年所研擬的生態旅遊白皮書中，將生態旅遊定義為「一種在自然地區所進行的旅遊形式，強調生態保育的觀念，並以永續發展為最終目標」。符合此定義的生態旅遊，必須要透過解說引領遊客瞭解並欣賞當地特殊的自然與人文環境，提供環境教育以增強遊客的環境意識，引發負責任的環境行動，並將經濟利益回饋造訪地，除藉以協助當地保育工作的進行外，亦提升當地居民的生活福祉。並針對發展生態旅遊訂出必須遵守的八大原則：<br />1.必須採用低環境影響之營宿與休閒活動方式。<br />2.必須限制到此區域之遊客量（不論是團體大小或參觀團體數目）。<br />3.必須支持當地的自然資源與人文保育工作。<br />4.必須盡量使用當地居民之服務與載具。<br />5.必須提供遊客以自然體驗為旅遊重點的遊程。<br />6.必須聘用了解當地自然文化之解說員。<br />7.必須確保野生動植物不被干擾、環境不被破壞。<br />8.必須尊重當地居民的傳統文化及生活隱私。","20151008","105","何謂「生態旅遊」？"
